,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
318,1210,0,0,,2,1Fam,,,0.0,0.0,,,0.0,0.0,,0.0,Y,Norm,Norm,FuseA,100,TA,TA,Wd Sdng,Wd Sdng,MnPrv,,0,Slab,1,Typ,616.0,1.0,TA,Fin,TA,Attchd,1953.0,1210,1,GasA,TA,1Story,1779,1,TA,Lvl,Gtl,9533,Inside,75.0,Reg,0,20,RL,140.0,BrkFace,,0,8,NAmes,0,5,5,Y,0,,CompShg,Hip,Normal,,ConLD,0,Pave,7,0.0,AllPub,208,1953,1953,2009
319,801,726,0,,3,1Fam,TA,Mn,699.0,0.0,ALQ,Unf,1.0,0.0,TA,0.0,Y,Artery,Norm,FuseA,134,TA,TA,WdShing,Wd Shng,GdWo,Gd,1,CBlock,1,Typ,410.0,2.0,TA,Unf,TA,Attchd,1948.0,1527,1,GasA,Ex,2Story,1780,1,TA,Lvl,Gtl,11419,Corner,78.0,Reg,0,60,RL,0.0,None,,0,12,NAmes,0,7,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,699.0,AllPub,0,1948,1999,2009
320,1200,0,0,,3,1Fam,TA,No,390.0,0.0,BLQ,Unf,0.0,0.0,TA,810.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,,0,CBlock,1,Typ,246.0,1.0,TA,Fin,TA,Attchd,1950.0,1200,0,GasA,TA,1Story,1781,1,TA,Lvl,Gtl,9600,Inside,60.0,Reg,0,20,RL,0.0,None,,0,8,NAmes,0,6,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1200.0,AllPub,126,1950,1950,2009
321,792,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,792.0,Y,Norm,Norm,FuseA,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,366.0,1.0,TA,Unf,Fa,Attchd,1958.0,792,0,GasA,Gd,1Story,1782,1,TA,Lvl,Gtl,5470,Inside,53.0,Reg,0,20,RL,0.0,None,,0,8,OldTown,90,5,3,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,792.0,AllPub,0,1958,1958,2009
322,676,676,0,,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,1.0,TA,676.0,Y,Norm,Norm,SBrkr,128,Gd,TA,VinylSd,VinylSd,,,0,BrkTil,2,Typ,720.0,2.0,TA,Unf,TA,Detchd,1939.0,1352,0,GasA,Ex,2Story,1783,1,Gd,Lvl,Gtl,10800,Inside,60.0,Reg,0,60,RL,0.0,None,,0,8,OldTown,0,7,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,7,676.0,AllPub,187,1939,2006,2009
323,717,322,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,405.0,Y,Norm,Norm,SBrkr,168,Gd,Gd,MetalSd,MetalSd,,,0,BrkTil,1,Typ,281.0,1.0,TA,Unf,TA,Detchd,1940.0,1039,0,GasA,Gd,2Story,1784,1,TA,Lvl,Gtl,8146,Corner,80.0,Reg,0,70,RL,0.0,None,,0,5,OldTown,0,8,4,N,0,,CompShg,Gable,Normal,,WD,111,Pave,6,405.0,AllPub,0,1900,2003,2009
324,1078,0,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1054.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,GdWo,,0,BrkTil,1,Typ,264.0,1.0,TA,Unf,TA,Detchd,1987.0,1078,0,GasA,Ex,1Story,1785,1,Ex,Lvl,Gtl,10230,Inside,60.0,Reg,0,30,RL,0.0,None,,0,12,OldTown,0,7,5,N,0,,CompShg,Gable,Normal,,WD,112,Pave,6,1054.0,AllPub,0,1925,1950,2009
325,1313,0,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1313.0,Y,Norm,Norm,SBrkr,432,TA,TA,MetalSd,MetalSd,,TA,1,BrkTil,2,Min2,528.0,2.0,TA,Unf,TA,Detchd,1954.0,2377,0,GasA,TA,1.5Fin,1786,1,Gd,Lvl,Gtl,10410,Inside,60.0,Reg,1064,50,RL,0.0,None,,0,6,OldTown,0,5,4,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,8,1313.0,AllPub,0,1915,1950,2009
326,930,760,0,,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,560.0,Y,Artery,Norm,SBrkr,112,Gd,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,624.0,2.0,TA,Unf,TA,Detchd,2008.0,1690,0,GasA,Ex,2Story,1787,1,Gd,Lvl,Gtl,7200,Corner,60.0,Reg,0,70,RL,0.0,None,,0,8,OldTown,0,9,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,5,560.0,AllPub,0,1910,2008,2009
327,599,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,1.0,0.0,Fa,416.0,N,Artery,Norm,FuseA,0,TA,Fa,Stucco,Stucco,,,0,PConc,1,Typ,0.0,0.0,,,,,,599,0,GasA,Gd,1Story,1788,1,Gd,Lvl,Gtl,5400,Inside,90.0,Reg,0,30,RL,0.0,None,,0,6,OldTown,81,5,2,N,0,,CompShg,Gable,Normal,,WD,0,Pave,4,416.0,AllPub,0,1940,1950,2009
328,846,0,0,Grvl,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,720.0,N,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,576.0,2.0,TA,Fin,TA,Detchd,1980.0,846,0,GasA,TA,1Story,1789,1,Gd,Lvl,Gtl,10800,Inside,60.0,Reg,0,30,RL,0.0,None,,0,6,OldTown,0,7,5,N,0,,CompShg,Gable,Normal,,WD,0,Pave,4,720.0,AllPub,0,1920,1950,2009
329,725,0,0,Grvl,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,630.0,Y,Norm,Norm,FuseA,0,TA,TA,VinylSd,VinylSd,,,0,BrkTil,1,Typ,320.0,1.0,TA,Unf,TA,Detchd,1959.0,725,1,GasA,TA,1Story,1790,1,TA,Lvl,Gtl,10800,Corner,60.0,Reg,0,30,RL,0.0,None,,0,11,OldTown,30,5,3,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,630.0,AllPub,0,1890,1998,2009
330,1248,1296,0,,6,Duplex,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1248.0,Y,Artery,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,2,Typ,907.0,3.0,TA,RFn,TA,Attchd,1969.0,2544,2,GasA,TA,2Story,1791,2,TA,Lvl,Gtl,9671,Corner,81.0,Reg,0,90,RL,480.0,Stone,,0,8,NAmes,0,5,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,12,1248.0,AllPub,0,1969,1969,2009
331,1380,0,0,,3,1Fam,TA,No,384.0,0.0,Rec,Unf,0.0,0.0,TA,996.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,GdWo,,0,CBlock,1,Typ,364.0,1.0,TA,Unf,TA,Attchd,1963.0,1380,1,GasA,Fa,1Story,1792,1,TA,Lvl,Gtl,10143,Inside,83.0,Reg,0,20,RL,295.0,BrkFace,,0,6,NAmes,0,7,6,Y,0,,CompShg,Gable,Normal,,WD,216,Pave,6,1380.0,AllPub,0,1963,1963,2009
332,1040,0,0,,3,1Fam,Fa,No,872.0,60.0,BLQ,Rec,1.0,0.0,TA,108.0,Y,Norm,Norm,SBrkr,156,TA,Fa,HdBoard,HdBoard,MnPrv,Po,1,CBlock,1,Min1,480.0,2.0,TA,RFn,TA,Attchd,1967.0,1040,0,GasA,Gd,1Story,1793,1,TA,Lvl,Gtl,11500,Inside,77.0,IR1,0,20,RL,0.0,None,,0,5,NAmes,0,4,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1040.0,AllPub,0,1967,1967,2009
333,951,0,0,,2,1Fam,TA,Mn,745.0,0.0,GLQ,Unf,1.0,0.0,TA,206.0,Y,Norm,Norm,SBrkr,42,Gd,Gd,Wd Sdng,Wd Sdng,,,0,CBlock,1,Typ,480.0,2.0,TA,Unf,TA,Detchd,1985.0,951,0,GasA,Gd,1Story,1794,1,Gd,Lvl,Gtl,8010,Inside,62.0,Reg,0,20,RL,0.0,None,Shed,450,9,NAmes,0,9,6,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,6,951.0,AllPub,0,1958,2007,2009
334,1105,0,0,,3,1Fam,TA,No,546.0,0.0,Rec,Unf,0.0,0.0,TA,559.0,Y,Norm,Norm,FuseA,0,TA,TA,Plywood,Plywood,,,0,CBlock,1,Typ,308.0,1.0,TA,Unf,TA,Detchd,1957.0,1105,0,GasA,Gd,1Story,1795,1,TA,Lvl,Gtl,10454,Corner,90.0,IR1,0,20,RL,143.0,Stone,,0,4,NAmes,0,6,6,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,5,1105.0,AllPub,0,1957,1957,2009
335,1142,0,0,,2,1Fam,TA,Gd,0.0,0.0,Unf,Unf,0.0,0.0,Gd,160.0,Y,Norm,Norm,SBrkr,64,TA,TA,Wd Sdng,Wd Sdng,,Gd,1,CBlock,1,Typ,384.0,1.0,TA,RFn,TA,Basment,1958.0,1142,0,GasA,Fa,1Story,1796,1,TA,HLS,Mod,9000,Inside,80.0,IR1,0,20,RL,82.0,BrkFace,,0,4,NAmes,28,6,6,Y,0,,Tar&Grv,Flat,Normal,,WD,0,Pave,5,160.0,AllPub,0,1958,1958,2009
336,765,368,0,,3,1Fam,TA,Av,621.0,0.0,Rec,Unf,0.0,0.0,TA,174.0,N,Artery,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,,,0,CBlock,1,Typ,900.0,2.0,TA,Unf,TA,Detchd,1989.0,1133,0,GasA,Gd,1.5Fin,1797,1,TA,Lvl,Gtl,8064,Inside,60.0,Reg,0,50,RL,0.0,None,,0,12,NAmes,0,5,6,Y,0,,CompShg,Gable,Abnorml,,COD,231,Pave,5,795.0,AllPub,0,1950,1950,2009
337,1041,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1041.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,GdWo,,0,CBlock,1,Typ,294.0,1.0,TA,RFn,TA,Attchd,1958.0,1041,0,GasA,Gd,1Story,1798,1,TA,Lvl,Gtl,7350,Inside,71.0,Reg,0,20,RL,0.0,None,,0,3,NAmes,0,6,5,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,6,1041.0,AllPub,0,1958,1958,2009
338,732,0,0,,2,1Fam,Gd,No,630.0,102.0,ALQ,BLQ,1.0,0.0,TA,0.0,Y,Norm,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,240.0,1.0,TA,Unf,TA,Detchd,1952.0,732,0,GasA,TA,1Story,1799,1,TA,Lvl,Gtl,7200,Corner,60.0,Reg,0,20,RL,0.0,None,,0,9,NAmes,68,7,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,732.0,AllPub,0,1952,1952,2009
339,1183,0,0,,3,1Fam,TA,Av,433.0,95.0,GLQ,Rec,1.0,0.0,Gd,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,GdWo,,0,CBlock,1,Typ,288.0,1.0,TA,RFn,TA,Attchd,1959.0,1183,0,GasA,TA,SLvl,1800,1,TA,Lvl,Gtl,8000,Inside,80.0,Reg,0,80,RL,0.0,None,,0,7,NAmes,0,5,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,528.0,AllPub,0,1959,1959,2009
340,832,629,0,,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Artery,Norm,FuseF,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,2,Typ,384.0,1.0,TA,Unf,TA,Detchd,1949.0,1461,0,GasA,TA,1.5Fin,1801,1,TA,Lvl,Gtl,10800,Inside,60.0,Reg,0,50,RL,0.0,None,,0,8,NAmes,204,7,4,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,832.0,AllPub,0,1949,1996,2009
341,1064,0,0,,3,1Fam,TA,No,120.0,0.0,LwQ,Unf,0.0,0.0,TA,744.0,Y,Artery,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1994.0,1495,0,GasA,TA,1.5Fin,1802,1,TA,Lvl,Gtl,8064,Corner,60.0,Reg,431,50,RL,0.0,None,,0,8,NAmes,36,7,6,Y,0,,CompShg,Gable,Abnorml,,COD,0,Pave,6,864.0,AllPub,180,1948,1994,2009
342,993,813,0,,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,780.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,1,Typ,483.0,2.0,TA,Unf,TA,Attchd,1964.0,1806,1,GasA,TA,2Story,1803,1,TA,Lvl,Gtl,7570,Corner,76.0,Reg,0,60,RL,420.0,BrkFace,,0,3,NAmes,55,5,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,8,780.0,AllPub,0,1964,1964,2009
343,941,0,0,,2,Duplex,TA,Av,941.0,0.0,GLQ,Unf,1.0,0.0,Gd,0.0,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,,,0,CBlock,1,Typ,564.0,2.0,TA,Unf,TA,Attchd,1978.0,941,0,GasA,Gd,SFoyer,1804,1,Gd,Lvl,Gtl,8604,Inside,75.0,IR1,0,90,RL,124.0,BrkFace,,0,11,NAmes,40,7,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,941.0,AllPub,0,1978,1978,2009
344,1045,0,0,,3,1Fam,TA,No,826.0,0.0,BLQ,Unf,1.0,0.0,TA,219.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,,Fa,1,CBlock,1,Typ,264.0,1.0,TA,RFn,TA,Attchd,1963.0,1045,0,GasA,TA,1Story,1805,1,TA,Lvl,Gtl,7936,Inside,80.0,Reg,0,20,RL,0.0,None,,0,4,NAmes,0,6,6,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,6,1045.0,AllPub,0,1963,1963,2009
345,861,517,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,901.0,Y,Norm,Norm,SBrkr,40,TA,TA,Wd Sdng,Wd Sdng,,,0,PConc,1,Typ,162.0,1.0,Fa,Unf,Fa,Detchd,1920.0,1378,0,GasA,Gd,1.5Fin,1806,1,Gd,Lvl,Gtl,4080,Inside,68.0,Reg,0,50,RM,0.0,None,,0,6,OldTown,0,8,6,P,0,,CompShg,Gable,Normal,,WD,0,Pave,6,901.0,AllPub,54,1935,1998,2009
346,972,972,0,Grvl,4,Duplex,TA,Mn,633.0,0.0,LwQ,Unf,1.0,0.0,TA,339.0,N,Norm,Norm,FuseA,169,TA,TA,Wd Sdng,Wd Sdng,,,0,CBlock,2,Typ,324.0,2.0,TA,Unf,Fa,Detchd,1920.0,1944,0,GasA,Gd,2Story,1807,2,TA,Lvl,Gtl,10307,Inside,57.0,Reg,0,90,RM,0.0,None,,0,6,OldTown,28,5,6,N,0,,CompShg,Gable,Normal,,WD,0,Pave,12,972.0,AllPub,0,1910,1950,2009
347,810,496,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,240.0,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,MnPrv,,0,CBlock,1,Typ,472.0,2.0,TA,Unf,Fa,Detchd,1959.0,1306,1,GasA,TA,1.5Fin,1808,1,Gd,Lvl,Gtl,15660,Inside,90.0,Reg,0,50,RM,0.0,None,,0,7,OldTown,0,8,5,N,0,,CompShg,Gable,Normal,,WD,0,Pave,6,240.0,AllPub,0,1910,2003,2009
348,764,700,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,504.0,Y,Norm,Norm,SBrkr,176,TA,Gd,VinylSd,VinylSd,,,0,CBlock,2,Typ,0.0,0.0,,,,,,1464,0,GasA,Ex,2Story,1809,1,TA,Lvl,Gtl,9900,Corner,90.0,Reg,0,70,RM,0.0,None,,0,3,OldTown,0,8,5,N,0,,CompShg,Gable,Normal,,WD,0,Pave,7,504.0,AllPub,0,1910,2002,2009
349,868,690,0,Grvl,3,1Fam,TA,No,421.0,0.0,ALQ,Unf,0.0,0.0,TA,269.0,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,Gd,1,BrkTil,1,Typ,400.0,2.0,TA,Unf,TA,Detchd,1939.0,1558,1,GasA,TA,2Story,1810,1,TA,Lvl,Gtl,6406,Inside,57.0,Reg,0,70,RM,0.0,None,,0,10,OldTown,36,6,5,Y,0,,CompShg,Gable,Normal,,WD,182,Pave,7,690.0,AllPub,0,1939,1950,2009
350,1101,600,0,,4,2fmCon,Po,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,600.0,N,Artery,Norm,SBrkr,148,TA,Fa,AsbShng,AsbShng,,,0,BrkTil,2,Typ,0.0,0.0,,,,,,1701,0,GasA,Gd,2Story,1811,2,Fa,Lvl,Gtl,7627,Corner,63.0,Reg,0,190,RM,0.0,None,,0,10,OldTown,0,6,4,N,0,,CompShg,Gable,Normal,,WD,0,Pave,8,600.0,AllPub,0,1920,1950,2009
351,801,646,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,801.0,N,Norm,Norm,SBrkr,244,TA,TA,MetalSd,MetalSd,,,0,BrkTil,1,Typ,0.0,0.0,,,,,,1447,0,GasA,Gd,1.5Fin,1812,1,TA,Lvl,Gtl,10134,Inside,56.0,Reg,0,50,RM,0.0,None,,0,7,OldTown,0,5,5,N,0,,CompShg,Gable,Normal,,WD,0,Pave,6,801.0,AllPub,80,1910,1950,2009
352,768,560,0,,3,1Fam,TA,No,384.0,0.0,BLQ,Unf,0.0,0.0,TA,384.0,Y,Norm,Norm,FuseA,0,Ex,TA,Wd Sdng,Wd Sdng,MnPrv,,0,CBlock,1,Typ,308.0,1.0,TA,Unf,TA,Detchd,1950.0,1328,1,GasA,TA,1.5Fin,1813,1,TA,Lvl,Gtl,6000,Inside,50.0,Reg,0,50,RM,0.0,None,,0,3,OldTown,12,7,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,768.0,AllPub,0,1950,1970,2009
353,861,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,861.0,Y,Norm,Norm,SBrkr,128,TA,TA,MetalSd,MetalSd,,,0,BrkTil,1,Typ,288.0,2.0,TA,Unf,TA,Detchd,1920.0,861,0,GasA,TA,1Story,1814,1,TA,Lvl,Gtl,7404,Corner,62.0,Reg,0,30,RM,0.0,None,,0,11,OldTown,0,6,4,N,0,,CompShg,Gable,Normal,,Oth,0,Pave,5,861.0,AllPub,0,1920,1950,2009
354,612,0,0,,1,1Fam,,,0.0,0.0,,,0.0,0.0,,0.0,N,Norm,Norm,FuseA,25,Gd,TA,MetalSd,MetalSd,,,0,BrkTil,1,Typ,308.0,1.0,Fa,Unf,TA,Detchd,1965.0,612,0,GasA,Fa,1Story,1815,1,TA,Lvl,Gtl,5925,Corner,50.0,Reg,0,30,RM,0.0,None,,0,10,OldTown,0,4,2,N,0,,CompShg,Gable,Normal,,WD,0,Pave,4,0.0,AllPub,0,1940,1950,2009
355,792,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,624.0,Y,Norm,Norm,SBrkr,81,TA,Gd,Stucco,Stucco,GdWo,,0,PConc,1,Typ,287.0,1.0,TA,Unf,TA,Detchd,1963.0,792,0,GasA,TA,1Story,1816,1,TA,Lvl,Gtl,8520,Inside,60.0,Reg,0,30,RM,0.0,None,,0,2,OldTown,0,8,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,5,624.0,AllPub,0,1923,1950,2009
356,833,677,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,677.0,Y,Norm,Norm,SBrkr,160,Gd,Gd,VinylSd,VinylSd,,,0,BrkTil,2,Typ,720.0,2.0,TA,Unf,TA,Detchd,1974.0,1510,0,GasA,TA,2Story,1817,1,Gd,Lvl,Gtl,9600,Inside,60.0,Reg,0,70,RM,0.0,None,,0,6,OldTown,0,4,4,N,0,,CompShg,Gable,Normal,,WD,0,Pave,7,677.0,AllPub,0,1910,1950,2009
357,1090,917,0,,3,1Fam,Gd,Mn,0.0,0.0,Unf,Unf,0.0,0.0,Fa,917.0,Y,Artery,Norm,FuseA,0,TA,TA,Stucco,BrkFace,,,0,BrkTil,2,Typ,357.0,1.0,TA,Unf,TA,Detchd,1930.0,2007,0,GasA,Gd,2Story,1818,1,Ex,Lvl,Gtl,8400,Corner,70.0,Reg,0,70,RM,0.0,None,,0,6,OldTown,235,7,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,8,917.0,AllPub,0,1900,1950,2009
358,664,624,0,Grvl,3,1Fam,TA,No,0.0,0.0,Unf,Unf,1.0,0.0,TA,624.0,Y,Norm,Norm,SBrkr,0,TA,TA,Stucco,Stucco,,Gd,1,BrkTil,1,Typ,280.0,1.0,TA,Unf,TA,Attchd,1917.0,1288,0,GasA,Ex,2Story,1819,1,Ex,Lvl,Gtl,3600,Inside,60.0,Reg,0,70,RM,0.0,None,,0,5,OldTown,103,7,6,N,0,,CompShg,Gable,Normal,,WD,0,Pave,5,624.0,AllPub,0,1917,2007,2009
359,816,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,624.0,Y,Norm,Norm,SBrkr,0,TA,TA,Stucco,Stucco,,Gd,1,BrkTil,1,Typ,0.0,0.0,,,,,,816,0,GasA,Ex,1Story,1820,1,TA,Lvl,Gtl,3300,Inside,,Reg,0,30,C (all),0.0,None,,0,6,OldTown,33,3,4,N,0,,CompShg,Gable,Normal,,WD,0,Pave,5,624.0,AllPub,0,1910,1950,2009
360,1044,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,972.0,Y,Norm,Norm,SBrkr,176,TA,Fa,MetalSd,MetalSd,,,0,BrkTil,1,Typ,207.0,1.0,TA,Unf,Fa,Detchd,1920.0,1480,0,GasA,Ex,1.5Fin,1821,1,TA,Lvl,Gtl,5400,Inside,60.0,Reg,436,50,RM,0.0,None,,0,9,OldTown,0,6,6,Y,0,,CompShg,Gable,Family,,ConLI,0,Pave,6,972.0,AllPub,0,1920,1950,2009
361,780,741,0,Grvl,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,741.0,Y,Norm,Norm,SBrkr,238,TA,TA,MetalSd,MetalSd,MnPrv,,0,PConc,1,Typ,640.0,3.0,TA,Unf,TA,Detchd,1950.0,1521,0,GasA,Ex,2Story,1822,1,Gd,Lvl,Gtl,9720,Inside,60.0,Reg,0,70,RM,0.0,None,,0,9,OldTown,0,7,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,8,741.0,AllPub,0,1910,2002,2009
362,797,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Fa,245.0,N,Norm,Norm,SBrkr,94,Fa,TA,AsbShng,AsbShng,,,0,CBlock,1,Typ,0.0,0.0,,,,,,797,0,GasA,TA,1Story,1823,1,TA,Lvl,Gtl,9392,Corner,72.0,Reg,0,30,C (all),0.0,None,,0,9,IDOTRR,36,3,3,N,0,,CompShg,Mansard,Abnorml,,WD,0,Pave,5,245.0,AllPub,0,1900,1950,2009
363,1432,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1022.0,N,Norm,Norm,FuseA,0,TA,TA,MetalSd,MetalSd,GdWo,Gd,1,BrkTil,1,Typ,216.0,1.0,TA,Unf,Fa,BuiltIn,1923.0,1432,0,GasA,TA,1Story,1824,1,Gd,Lvl,Gtl,6615,Inside,,Reg,0,30,RL,0.0,None,,0,9,BrkSide,61,6,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1022.0,AllPub,266,1923,1950,2009
364,1001,653,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,297.0,Y,RRAn,Norm,SBrkr,0,TA,TA,WdShing,Wd Shng,,Gd,1,CBlock,2,Typ,336.0,1.0,TA,Unf,TA,Detchd,1955.0,1654,0,GasA,Ex,1.5Fin,1825,1,TA,Lvl,Gtl,4960,Inside,50.0,Reg,0,70,RL,0.0,None,,0,5,BrkSide,60,7,5,N,0,,CompShg,Gable,Normal,,WD,0,Pave,7,297.0,AllPub,244,1930,1982,2009
365,822,320,0,,3,1Fam,TA,No,220.0,0.0,Rec,Unf,0.0,0.0,TA,248.0,Y,Norm,Norm,SBrkr,98,TA,TA,Stucco,Stucco,,,0,BrkTil,1,Typ,320.0,1.0,TA,Fin,TA,Attchd,1924.0,1142,0,GasA,Gd,1.5Fin,1826,1,TA,Lvl,Gtl,6000,Corner,60.0,Reg,0,50,RM,444.0,BrkFace,,0,6,BrkSide,0,5,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,468.0,AllPub,0,1924,1950,2009
366,995,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,960.0,Y,Norm,Norm,SBrkr,51,TA,TA,MetalSd,MetalSd,MnPrv,,0,BrkTil,1,Typ,264.0,1.0,TA,Unf,TA,Detchd,1926.0,995,0,GasA,Gd,1Story,1827,1,TA,Lvl,Gtl,6120,Inside,51.0,Reg,0,30,RM,0.0,None,,0,3,BrkSide,15,6,5,Y,0,,CompShg,Gable,Abnorml,,WD,0,Pave,5,960.0,AllPub,0,1925,1999,2009
367,994,588,150,,3,1Fam,Fa,No,273.0,0.0,LwQ,Unf,0.0,0.0,TA,679.0,Y,Norm,Norm,FuseA,34,TA,TA,Wd Sdng,Wd Sdng,,Gd,1,BrkTil,2,Typ,250.0,1.0,TA,Unf,Fa,Detchd,1938.0,1582,0,GasA,TA,1.5Fin,1828,1,TA,Lvl,Gtl,6120,Inside,51.0,Reg,0,50,RM,0.0,None,,0,2,BrkSide,0,6,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,952.0,AllPub,189,1938,1950,2009
